Date,SMB,HML
20120101,2.1,-0.9
20120201,-1.84,0.46
20120301,-0.68,1.21
20120401,-0.39,-0.77
20120501,0.16,-1.04
20120601,0.78,0.58
20120701,-2.62,-0.05
20120801,0.47,1.12
20120901,0.49,1.56
20121001,-1.09,3.61
20121101,0.53,-0.83
20121201,1.45,3.53
20130101,0.36,0.98
20130201,-0.42,0.13
20130301,0.75,-0.23
20130401,-2.4,0.53
20130501,1.66,2.61
20130601,1.16,-0.09
20130701,1.86,0.56
20130801,0.29,-2.66
20130901,2.89,-1.15
20131001,-1.53,1.21
20131101,1.19,0.29
20131201,-0.59,-0.05
20140101,0.87,-2.02
20140201,0.31,-0.36
20140301,-1.85,4.9
20140401,-4.21,1.12
20140501,-1.9,-0.12
20140601,3.08,-0.67
20140701,-4.27,0.02
20140801,0.36,-0.42
20140901,-3.73,-1.38
20141001,4.28,-1.8
20141101,-2.04,-3.07
20141201,2.48,2.23
20150101,-0.51,-3.56
20150201,0.52,-1.81
20150301,3.02,-0.41
20150401,-3.04,1.88
20150501,0.89,-1.1
20150601,2.85,-0.74
20150701,-4.09,-4.21
20150801,0.44,2.73
20150901,-2.61,0.39
20151001,-1.98,-0.25
20151101,3.68,-0.49
20151201,-2.86,-2.45
20160101,-3.36,2.01
20160201,0.83,-0.6
20160301,0.82,1.11
20160401,0.69,3.28
20160501,-0.27,-1.6
20160601,0.64,-1.4
20160701,2.6,-1.23
20160801,1.13,3.31
20160901,2.04,-1.21
20161001,-4.43,4.07
20161101,5.47,8.22
20161201,0.11,3.51
20170101,-1.06,-2.81
20170201,-2.01,-1.79
20170301,1.17,-3.33
20170401,0.72,-2.11
20170501,-2.61,-3.67
20170601,2.15,1.45
20170701,-1.47,-0.36
20170801,-1.62,-2.19
20170901,4.47,3.14
20171001,-1.95,0.12
20171101,-0.58,-0.09
20171201,-1.29,0.17
20180101,-3.09,-1.32
20180201,0.3,-1.01
20180301,4.05,-0.12
20180401,1.13,0.5
20180501,5.28,-3.15
20180601,1.19,-2.31
20180701,-2.21,0.57
20180801,1.15,-3.92
20180901,-2.28,-1.63
20181001,-4.78,3.46
20181101,-0.71,0.34
20181201,-2.48,-1.89
20190101,2.89,-0.46
20190201,2.12,-2.71
20190301,-3.05,-4.19
20190401,-1.75,2.02
