Date,UK,US
20130601,-6.14,-2.1
20130701,5.91,4.52
20130801,-1.75,-3.58
20130901,4.85,2.55
20131001,2.71,3.71
20131101,0.03,2.02
20131201,2.02,1.91
20140101,-4.97,-4.1
20140201,5.97,3.85
20140301,-4.26,-0.06
20140401,3.56,-0.11
20140501,-0.21,1.55
20140601,-0.22,1.38
20140701,-1.96,-2.13
20140801,-0.94,3.19
20140901,-5.93,-2.31
20141001,-3.12,1.69
20141101,-0.22,1.82
20141201,-3.36,-1.08
20150101,-1.71,-3.52
20150201,5.26,4.99
20150301,-6.99,-2.2
20150401,5.89,0.21
20150501,-1.1,0.5
20150601,-4.4,-2.66
20150701,1.04,1.28
20150801,-8.76,-6.88
20150901,-5.18,-3.42
20151001,6.42,7.52
20151101,-3.28,-0.49
20151201,-4.59,-2.46
20160101,-6.69,-6.03
20160201,-2.12,-1.08
20160301,3.68,6.06
20160401,2.45,-0.22
20160501,-1.58,0.97
20160601,-4.52,-0.51
20160701,2.11,3.07
20160801,-1.24,-0.7
20160901,0.34,-0.64
20161001,-5.99,-2.61
20161101,-0.72,2.73
20161201,3.46,1.11
20170101,0.65,1.36
20170201,0.64,3.09
20170301,0.77,-0.62
20170401,1.12,0.36
20170501,3.46,0.51
20170601,-2.9,-0.12
20170701,1.92,1.32
20170801,-2.2,-0.52
20170901,2.6,1.3
20171001,-0.19,1.58
20171101,-0.92,2.19
20171201,4.26,0.35
20180101,2.39,5.03
20180201,-7.59,-4.47
20180301,-1.34,-3.19
20180401,3.8,-0.31
20180501,-1.98,1.6
20180601,-1.87,-0.05
20180701,0.22,2.87
20180801,-5.6,2.49
20180901,1.01,-0.28
20181001,-7.6,-7.65
20181101,-2.74,1.1
20181201,-4.51,-9.76
20190101,6.3,7.48
20190201,2.0,2.52
20190301,-0.06,1.1
20190401,1.21,3.29
