Date,Mkt-RF,HML
20041201,3.43,-0.18
20050101,-2.76,2.01
20050201,1.89,1.63
20050301,-1.97,2.14
20050401,-2.61,0.05
20050501,3.65,-0.66
20050601,0.57,2.82
20050701,3.92,-0.83
20050801,-1.22,1.38
20050901,0.49,0.74
20051001,-2.02,0.45
20051101,3.61,-1.16
20051201,-0.25,0.24
20060101,3.04,0.99
20060201,-0.3,-0.26
20060301,1.46,0.68
20060401,0.73,2.37
20060501,-3.57,2.45
20060601,-0.35,0.92
20060701,-0.78,2.67
20060801,2.03,-1.98
20060901,1.84,-0.04
20061001,3.23,-0.3
20061101,1.71,0.07
20061201,0.87,2.72
20070101,1.4,-0.69
20070201,-1.96,-0.17
20070301,0.68,-0.83
20070401,3.49,-1.38
20070501,3.24,-0.63
20070601,-1.96,-1.1
20070701,-3.73,-3.55
20070801,0.92,-1.91
20070901,3.22,-2.21
20071001,1.8,-2.91
20071101,-4.83,-1.0
20071201,-0.87,-0.59
20080101,-6.36,3.67
20080201,-3.09,-0.88
20080301,-0.93,0.14
20080401,4.6,-0.96
20080501,1.86,-1.45
20080601,-8.44,-2.77
20080701,-0.77,5.27
20080801,1.53,1.45
20080901,-9.24,6.07
20081001,-17.23,-2.37
20081101,-7.86,-6.31
20081201,1.74,0.14
20090101,-8.12,-11.12
20090201,-10.1,-7.03
20090301,8.95,3.4
20090401,10.18,5.21
20090501,5.21,0.49
20090601,0.43,-2.62
20090701,7.72,4.87
20090801,3.33,7.5
20090901,4.08,0.89
20091001,-2.59,-4.03
20091101,5.56,-0.25
20091201,2.75,-0.11
20100101,-3.36,0.33
20100201,3.4,3.19
20100301,6.31,2.11
20100401,2.0,2.91
20100501,-7.89,-2.39
20100601,-5.57,-4.52
20100701,6.93,-0.36
20100801,-4.77,-1.9
20100901,9.54,-3.23
20101001,3.88,-2.46
20101101,0.6,-0.95
20101201,6.82,3.64
20110101,1.99,0.82
20110201,3.49,1.29
20110301,0.46,-1.76
20110401,2.9,-2.43
20110501,-1.27,-2.05
20110601,-1.75,-0.42
20110701,-2.35,-0.88
20110801,-5.99,-2.56
20110901,-7.59,-1.71
20111001,11.35,0.13
20111101,-0.28,-0.48
20111201,0.74,1.68
20120101,5.05,-0.9
20120201,4.42,0.46
20120301,3.11,1.21
20120401,-0.85,-0.77
20120501,-6.19,-1.04
20120601,3.89,0.58
20120701,0.79,-0.05
20120801,2.55,1.12
20120901,2.73,1.56
20121001,-1.76,3.61
20121101,0.78,-0.83
20121201,1.18,3.53
20130101,5.57,0.98
20130201,1.29,0.13
20130301,4.03,-0.23
20130401,1.55,0.53
20130501,2.8,2.61
20130601,-1.2,-0.09
20130701,5.65,0.56
20130801,-2.71,-2.66
20130901,3.77,-1.15
20131001,4.18,1.21
20131101,3.13,0.29
20131201,2.81,-0.05
20140101,-3.32,-2.02
20140201,4.65,-0.36
20140301,0.43,4.9
20140401,-0.19,1.12
20140501,2.06,-0.12
20140601,2.61,-0.67
20140701,-2.04,0.02
20140801,4.24,-0.42
20140901,-1.97,-1.38
20141001,2.52,-1.8
20141101,2.55,-3.07
20141201,-0.06,2.23
20150101,-3.11,-3.56
20150201,6.14,-1.81
20150301,-1.12,-0.41
20150401,0.59,1.88
20150501,1.36,-1.1
20150601,-1.53,-0.74
20150701,1.54,-4.21
20150801,-6.04,2.73
20150901,-3.07,0.39
20151001,7.75,-0.25
20151101,0.56,-0.49
20151201,-2.17,-2.45
20160101,-5.77,2.01
20160201,-0.08,-0.6
20160301,6.96,1.11
20160401,0.92,3.28
20160501,1.78,-1.6
20160601,-0.05,-1.4
20160701,3.95,-1.23
20160801,0.5,3.31
20160901,0.25,-1.21
20161001,-2.02,4.07
20161101,4.86,8.22
20161201,1.81,3.51
20170101,1.94,-2.81
20170201,3.57,-1.79
20170301,0.17,-3.33
20170401,1.09,-2.11
20170501,1.06,-3.67
20170601,0.78,1.45
20170701,1.87,-0.36
20170801,0.16,-2.19
20170901,2.51,3.14
20171001,2.25,0.12
20171101,3.12,-0.09
20171201,1.06,0.17
20180101,5.58,-1.32
20180201,-3.65,-1.01
20180301,-2.35,-0.12
20180401,0.29,0.5
20180501,2.65,-3.15
20180601,0.48,-2.31
20180701,3.19,0.57
20180801,3.44,-3.92
20180901,0.06,-1.63
20181001,-7.68,3.46
20181101,1.69,0.34
20181201,-9.55,-1.89
20190101,8.41,-0.46
20190201,3.4,-2.71
20190301,1.1,-4.19
20190401,3.96,2.02
